name,rank,true_skill,mu,sigma,practices,games
Peli,1,-5.150015,5.728835,3.626283,4,13
Matus,2,-8.185129,3.768779,3.984636,2,8
VitVokroj,3,-8.873462,2.422418,3.765293,2,11
Karlos,4,-9.822851,4.471332,4.764728,3,6
Jazz,5,-9.963346,1.020841,3.661396,4,13
Strudl,6,-10.188869,0.759219,3.649363,4,13
LukyKlimes,7,-10.385168,1.568740,3.984636,2,8
Cross,8,-11.219005,0.109930,3.776312,4,13
FilaH,9,-11.641633,-0.224374,3.805753,4,13
Freny,10,-11.666591,-0.743786,3.640935,4,13
Cego,11,-12.463835,-0.647253,3.938861,3,9
Pisky,12,-12.716946,-1.130369,3.862192,2,11
FilaSlouka,13,-12.876550,-1.337849,3.846234,3,12
VojtaR,14,-13.415452,0.869085,4.761512,3,6
Frnda(Xnapy),15,-13.828330,0.615845,4.814725,2,5
B,16,-14.224371,-2.807112,3.805753,4,13
Scoot,17,-14.496917,-3.429242,3.689225,3,12
Vilda,18,-15.053287,-0.768750,4.761512,3,6
Fanda,19,-15.589489,-3.781049,3.936147,4,13
G,20,-15.679243,-1.235068,4.814725,2,5
Eli,21,-15.894180,0.818913,5.571031,2,2
Otas,22,-19.781908,-4.318284,5.154541,2,5
Kacer,23,-20.854965,-5.137186,5.239259,2,5
